"ID.subject","Exp.date","Exp.trial","Exp.bloch","Pt.code","Pt.gender","Pt.study","Pt.age","Pt.group","Wheel.name","Resp.rt","Wheel.x","Wheel.y","Wheel.task","Video.name","Video.intensity","Video.gender","Video.emotion","Video.id"
"6_control","2023_Mar_20_1123",1,0,16,"f",14,40,"control","GW1",2.10313610955382,1,5,"task","M02-Neutral-Face Forward.mp4","full","maschio","neutral",3
"6_control","2023_Mar_20_1123",2,0,16,"f",14,40,"control","GW1",0.793926638296398,0,0,"task","JM2_Surprise.mp4","subtle","maschio","surprised",8
"6_control","2023_Mar_20_1123",3,0,16,"f",14,40,"control","GW1",4.17369071643861,0,0,"task","M03-Neutral-Face Forward.mp4","full","maschio","neutral",4
"6_control","2023_Mar_20_1123",4,0,16,"f",14,40,"control","GW1",3.71408539065214,-25,-145,"task","M03-Sadness-Face Forward.mp4","full","maschio","sad",4
"6_control","2023_Mar_20_1123",5,0,16,"f",14,40,"control","GW1",1.90203642811048,-41,201,"task","F03-Anger-Face Forward.mp4","full","femmina","angry",2
"6_control","2023_Mar_20_1123",6,0,16,"f",14,40,"control","GW1",2.1251759246552,-23,137,"task","JF2_Anger.mp4","subtle","femmina","angry",6
"6_control","2023_Mar_20_1123",7,0,16,"f",14,40,"control","GW1",4.26433697734137,113,72,"task","JF2_Happiness.mp4","subtle","femmina","happy",6
"6_control","2023_Mar_20_1123",8,0,16,"f",14,40,"control","GW1",8.89196237617944,-129,-21,"task","JM2_Sadness.mp4","subtle","maschio","sad",8
"6_control","2023_Mar_20_1123",9,0,16,"f",14,40,"control","GW1",9.95035204175201,65,-88,"task","JM1_Sadness.mp4","subtle","maschio","sad",7
"6_control","2023_Mar_20_1123",10,0,16,"f",14,40,"control","GW1",3.75154627668326,-85,-127,"task","M03-Fear-Face Forward.mp4","full","maschio","fear",4
"6_control","2023_Mar_20_1123",11,0,16,"f",14,40,"control","GW1",8.29890128077022,-54,39,"task","F01-Neutral-Face Forward.mp4","full","femmina","neutral",1
"6_control","2023_Mar_20_1123",12,0,16,"f",14,40,"control","GW1",5.79037895806414,67,11,"task","JM2_Neutral.mp4","subtle","maschio","neutral",8
"6_control","2023_Mar_20_1123",13,0,16,"f",14,40,"control","GW1",2.90553952579558,109,70,"task","JF1_Happiness.mp4","subtle","femmina","happy",5
"6_control","2023_Mar_20_1123",14,0,16,"f",14,40,"control","GW1",2.57807013379897,-67,-115,"task","JF1_Anger.mp4","subtle","femmina","angry",5
"6_control","2023_Mar_20_1123",15,0,16,"f",14,40,"control","GW1",13.9572414885824,52,34,"task","JF1_Neutral.mp4","subtle","femmina","neutral",5
"6_control","2023_Mar_20_1123",16,0,16,"f",14,40,"control","GW1",2.43173963022764,41,-184,"task","F03-Surprise-Face Forward.mp4","full","femmina","surprised",2
"6_control","2023_Mar_20_1123",17,0,16,"f",14,40,"control","GW1",10.1668124954294,120,85,"task","JM1_Happiness.mp4","subtle","maschio","happy",7
